,Price,Area_sq_ft,Num_of_Bedrooms,Num_of_Bathrooms,Num_of_Receptions
0,1675000,2716,5,5,5
1,650000,814,2,2,2
2,735000,761,2,2,2
3,1765000,1986,4,4,4
4,675000,700,2,2,2
5,420000,403,1,1,1
6,1475000,1548,4,4,4
7,650000,560,1,1,1
8,2500000,1308,3,3,3
9,925000,646,2,2,2
10,2400000,3392,6,6,6
11,2500000,2974,6,6,6
12,2795000,5294,5,5,5
13,725000,778,2,2,2
14,750000,647,2,2,2
15,12500000,4596,6,6,6
16,1450000,1702,3,3,3
17,1250000,3503,6,6,6
18,2275000,1173,3,3,3
19,1075000,865,2,2,2
20,500000,597,1,1,1
21,5500000,3016,4,4,4
22,8950000,3154,4,4,4
23,1175000,765,2,2,2
24,550000,479,1,1,1
25,1300000,1101,3,3,3
26,800000,1177,3,3,3
27,3500000,2331,4,4,4
28,374950,664,2,2,2
29,400000,805,2,2,2
30,1100000,582,2,2,2
31,1200000,1494,4,4,4
32,1250000,1507,4,4,4
33,695000,945,3,3,3
34,1735000,2118,4,4,4
35,2350000,2297,5,5,5
36,1200000,1351,4,4,4
37,975000,749,2,2,2
38,850000,1177,3,3,3
39,1599950,1884,4,4,4
40,925000,1321,2,2,2
41,650000,869,3,3,3
42,550000,670,1,1,1
43,9975000,10100,10,10,10
44,1850000,1910,5,5,5
45,525000,590,1,1,1
46,2200000,2239,4,4,4
47,3450000,5599,6,6,6
48,1999999,1608,3,3,3
49,725000,884,3,3,3
50,1750000,1232,2,2,2
51,5250000,2299,3,3,3
52,1250000,1307,3,3,3
53,490000,570,1,1,1
54,3350000,2185,3,3,3
55,1000000,1228,3,3,3
56,2350000,2511,4,4,4
57,2095000,1528,3,3,3
58,1250000,811,2,2,2
59,735000,969,2,2,2
60,875000,1132,4,4,4
61,1250000,2498,6,6,6
62,595000,643,2,2,2
63,1675000,5022,3,3,3
64,2595000,4858,6,6,6
65,820000,974,3,3,3
66,830000,850,2,2,2
67,500000,458,1,1,1
68,2500000,5999,7,7,7
69,7500000,3851,6,6,6
70,749950,1382,3,3,3
71,480000,448,1,1,1
72,3500000,1763,4,4,4
73,2100000,1208,3,3,3
74,650000,1023,2,2,2
75,1050000,1693,4,4,4
76,1300000,1890,5,5,5
77,625000,1348,4,4,4
78,625000,540,1,1,1
79,1100000,791,2,2,2
80,5950000,2646,4,4,4
81,1325000,1375,4,4,4
82,1250000,1068,2,2,2
83,2300000,1119,3,3,3
84,1500000,1811,4,4,4
85,1350000,1603,5,5,5
86,799995,942,3,3,3
87,795000,495,1,1,1
88,525000,829,2,2,2
89,2595000,2120,5,5,5
90,820000,631,2,2,2
91,1200000,2108,4,4,4
92,680000,705,2,2,2
93,2300000,1956,3,3,3
94,2300000,2083,5,5,5
95,4000000,3714,5,5,5
96,500000,516,2,2,2
97,1275000,1185,3,3,3
98,4500000,2972,3,3,3
